Q-1 Som-2011 1 34.947441951057286  | PRF Score
Q-1 Som-2034 2 34.89708474895857  | PRF Score
Q-1 Som-2036 3 33.392501052147445  | PRF Score
Q-1 Som-1869 4 32.154808024139285  | PRF Score
Q-1 Som-1948 5 31.913960655502116  | PRF Score
Q-1 Som-1888 6 31.69929579379037  | PRF Score
Q-1 Som-1889 7 31.69929579379037  | PRF Score
Q-1 Som-2041 8 23.292465029790357  | PRF Score
Q-1 Som-2043 9 22.607377161781784  | PRF Score
Q-1 Som-1892 10 22.107160549154614  | PRF Score
Q-1 Som-1736 11 21.76988161597688  | PRF Score
Q-1 Som-1862 12 21.42783380781615  | PRF Score
Q-1 Som-1978 13 21.25519473036394  | PRF Score
Q-1 Som-1960 14 20.96230064549821  | PRF Score
Q-1 Som-0812 15 20.545646011060754  | PRF Score
Q-1 Som-1513 16 20.522938085164345  | PRF Score
Q-1 Som-2053 17 20.41168974777881  | PRF Score
Q-1 Som-1577 18 20.055280456180956  | PRF Score
Q-1 Som-1689 19 19.882429869658495  | PRF Score
Q-1 Som-1905 20 19.463106602544308  | PRF Score
Q-2 Som-1472 1 54.25052172473782  | PRF Score
Q-2 Som-1459 2 39.083346286619296  | PRF Score
Q-2 Som-1946 3 39.054634766287165  | PRF Score
Q-2 Som-1455 4 37.19997835180186  | PRF Score
Q-2 Som-1906 5 33.655261054880576  | PRF Score
Q-2 Som-1465 6 32.285971983935184  | PRF Score
Q-2 Som-2283 7 32.1903525889135  | PRF Score
Q-2 Som-1872 8 32.13254246689973  | PRF Score
Q-2 Som-0834 9 31.7173279649377  | PRF Score
Q-2 Som-1304 10 30.587931820425023  | PRF Score
Q-2 Som-2095 11 29.89612981311306  | PRF Score
Q-2 Som-1858 12 29.46904504766984  | PRF Score
Q-2 Som-1763 13 28.795071170989758  | PRF Score
Q-2 Som-1442 14 28.746809008928278  | PRF Score
Q-2 Som-1444 15 28.518412789239132  | PRF Score
Q-2 Som-0469 16 28.180156698958097  | PRF Score
Q-2 Som-1019 17 28.06283726296273  | PRF Score
Q-2 Som-2059 18 27.493548636421096  | PRF Score
Q-2 Som-1469 19 26.988013527020023  | PRF Score
Q-2 Som-1422 20 26.952228908048212  | PRF Score
Q-3 Som-2333 1 65.698444818891  | PRF Score
Q-3 Som-2329 2 55.81862979436906  | PRF Score
Q-3 Som-2334 3 37.93609996749326  | PRF Score
Q-3 Som-2335 4 34.70148210840214  | PRF Score
Q-3 Som-2332 5 29.202678072520506  | PRF Score
Q-3 Som-2328 6 28.259641102113694  | PRF Score
Q-3 Som-2331 7 25.97039699315991  | PRF Score
Q-3 Som-0938 8 20.857003730024147  | PRF Score
Q-3 Som-2255 9 20.617299036429223  | PRF Score
Q-3 Som-1074 10 19.531143191926642  | PRF Score
Q-3 Som-1845 11 18.71580153922427  | PRF Score
Q-3 Som-1875 12 17.63460837040625  | PRF Score
Q-3 Som-2009 13 17.52677638779806  | PRF Score
Q-3 Som-1214 14 15.403957243853544  | PRF Score
Q-3 Som-2330 15 15.380022638515616  | PRF Score
Q-3 Som-1808 16 15.35404388914531  | PRF Score
Q-3 Som-2048 17 13.6435165976406  | PRF Score
Q-3 Som-1858 18 11.196961687223288  | PRF Score
Q-3 Som-1474 19 10.10442661902794  | PRF Score
Q-3 Som-0412 20 9.571399734231116  | PRF Score
Q-4 Som-0004 1 91.58890962370484  | PRF Score
Q-4 Som-0009 2 68.77342930543115  | PRF Score
Q-4 Som-0010 3 65.74407993900739  | PRF Score
Q-4 Som-0008 4 58.00071054347332  | PRF Score
Q-4 Som-0002 5 49.29331513059178  | PRF Score
Q-4 Som-0007 6 47.87975315486848  | PRF Score
Q-4 Som-0005 7 43.4392555751355  | PRF Score
Q-4 Som-0006 8 42.34668699934855  | PRF Score
Q-4 Som-1606 9 26.870475549370067  | PRF Score
Q-4 Som-1182 10 22.28696298193524  | PRF Score
Q-4 Som-1093 11 20.69799710672438  | PRF Score
Q-4 Som-0919 12 20.37208098060093  | PRF Score
Q-4 Som-1186 13 19.3591919531992  | PRF Score
Q-4 Som-1898 14 19.065629221375254  | PRF Score
Q-4 Som-2022 15 18.10624581040024  | PRF Score
Q-4 Som-0237 16 17.70629261275167  | PRF Score
Q-4 Som-1697 17 16.97271920597255  | PRF Score
Q-4 Som-1184 18 16.77896660113764  | PRF Score
Q-4 Som-1092 19 16.645573641011858  | PRF Score
Q-4 Som-1183 20 16.385463969548958  | PRF Score
Q-5 Som-1845 1 71.09588255289691  | PRF Score
Q-5 Som-1875 2 65.9575830364266  | PRF Score
Q-5 Som-2048 3 62.67503827184103  | PRF Score
Q-5 Som-1808 4 61.50840088207415  | PRF Score
Q-5 Som-0938 5 51.79127354801162  | PRF Score
Q-5 Som-2009 6 49.829627872213024  | PRF Score
Q-5 Som-2255 7 48.07673569373507  | PRF Score
Q-5 Som-2333 8 32.49807063914735  | PRF Score
Q-5 Som-2329 9 27.13980103794756  | PRF Score
Q-5 Som-1048 10 25.482970661057294  | PRF Score
Q-5 Som-1828 11 25.237465611576404  | PRF Score
Q-5 Som-0483 12 24.667110353108885  | PRF Score
Q-5 Som-1721 13 24.391395150742188  | PRF Score
Q-5 Som-2236 14 23.943635077127535  | PRF Score
Q-5 Som-0898 15 23.362406403899243  | PRF Score
Q-5 Som-2022 16 22.906154693312278  | PRF Score
Q-5 Som-0467 17 22.56813262828666  | PRF Score
Q-5 Som-0616 18 22.3077884757884  | PRF Score
Q-5 Som-1163 19 22.092693944596085  | PRF Score
Q-5 Som-0465 20 21.597765229937995  | PRF Score
Q-6 Som-1464 1 54.669496823654136  | PRF Score
Q-6 Som-1397 2 51.612908524276115  | PRF Score
Q-6 Som-1463 3 51.278924409044514  | PRF Score
Q-6 Som-1467 4 48.89898175705073  | PRF Score
Q-6 Som-1657 5 47.09357226630446  | PRF Score
Q-6 Som-2118 6 45.59446882598141  | PRF Score
Q-6 Som-0537 7 40.929044526791444  | PRF Score
Q-6 Som-1230 8 40.42627313188418  | PRF Score
Q-6 Som-2181 9 37.95143039738569  | PRF Score
